Autonomous city and community of death;Covid-19;Month of death;Gender;Place of death;Total
Aragón;Identified Covid-19 virus;September;Women;Total;105
Aragón;Identified Covid-19 virus;September;Women;Hospital centre;90
Aragón;Identified Covid-19 virus;September;Women;Home;..
Aragón;Identified Covid-19 virus;September;Women;Health care home;15
Aragón;Identified Covid-19 virus;September;Women;Other place;..
Aragón;Identified Covid-19 virus;September;Women;Not specified;..
Aragón;Identified Covid-19 virus;October;Total;Total;267
Aragón;Identified Covid-19 virus;October;Total;Hospital centre;214
Aragón;Identified Covid-19 virus;October;Total;Home;12
Aragón;Identified Covid-19 virus;October;Total;Health care home;34
Aragón;Identified Covid-19 virus;October;Total;Other place;..
Aragón;Identified Covid-19 virus;October;Total;Not specified;7
Aragón;Identified Covid-19 virus;October;Men;Total;138
Aragón;Identified Covid-19 virus;October;Men;Hospital centre;118
Aragón;Identified Covid-19 virus;October;Men;Home;4
Aragón;Identified Covid-19 virus;October;Men;Health care home;12
Aragón;Identified Covid-19 virus;October;Men;Other place;..
Aragón;Identified Covid-19 virus;October;Men;Not specified;4
Aragón;Identified Covid-19 virus;October;Women;Total;129
Aragón;Identified Covid-19 virus;October;Women;Hospital centre;96
Aragón;Identified Covid-19 virus;October;Women;Home;8
Aragón;Identified Covid-19 virus;October;Women;Health care home;22
Aragón;Identified Covid-19 virus;October;Women;Other place;..
Aragón;Identified Covid-19 virus;October;Women;Not specified;3
Aragón;Identified Covid-19 virus;November;Total;Total;641
Aragón;Identified Covid-19 virus;November;Total;Hospital centre;505
Aragón;Identified Covid-19 virus;November;Total;Home;26
Aragón;Identified Covid-19 virus;November;Total;Health care home;105
Aragón;Identified Covid-19 virus;November;Total;Other place;..
Aragón;Identified Covid-19 virus;November;Total;Not specified;5
Aragón;Identified Covid-19 virus;November;Men;Total;337
Aragón;Identified Covid-19 virus;November;Men;Hospital centre;279
Aragón;Identified Covid-19 virus;November;Men;Home;15
Aragón;Identified Covid-19 virus;November;Men;Health care home;41
Aragón;Identified Covid-19 virus;November;Men;Other place;..
Aragón;Identified Covid-19 virus;November;Men;Not specified;2
Aragón;Identified Covid-19 virus;November;Women;Total;304
Aragón;Identified Covid-19 virus;November;Women;Hospital centre;226
Aragón;Identified Covid-19 virus;November;Women;Home;11
Aragón;Identified Covid-19 virus;November;Women;Health care home;64
Aragón;Identified Covid-19 virus;November;Women;Other place;..
Aragón;Identified Covid-19 virus;November;Women;Not specified;3
Aragón;Identified Covid-19 virus;December;Total;Total;287
Aragón;Identified Covid-19 virus;December;Total;Hospital centre;225
Aragón;Identified Covid-19 virus;December;Total;Home;13
Aragón;Identified Covid-19 virus;December;Total;Health care home;49
Aragón;Identified Covid-19 virus;December;Total;Other place;..
Aragón;Identified Covid-19 virus;December;Total;Not specified;..
Aragón;Identified Covid-19 virus;December;Men;Total;142
Aragón;Identified Covid-19 virus;December;Men;Hospital centre;120
Aragón;Identified Covid-19 virus;December;Men;Home;4
Aragón;Identified Covid-19 virus;December;Men;Health care home;18
Aragón;Identified Covid-19 virus;December;Men;Other place;..
Aragón;Identified Covid-19 virus;December;Men;Not specified;..
Aragón;Identified Covid-19 virus;December;Women;Total;145
Aragón;Identified Covid-19 virus;December;Women;Hospital centre;105
Aragón;Identified Covid-19 virus;December;Women;Home;9
Aragón;Identified Covid-19 virus;December;Women;Health care home;31
Aragón;Identified Covid-19 virus;December;Women;Other place;..
Aragón;Identified Covid-19 virus;December;Women;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;Total;Total;Total;289
Aragón;Unidentified (suspected) COVID-19 virus;Total;Total;Hospital centre;118
Aragón;Unidentified (suspected) COVID-19 virus;Total;Total;Home;51
Aragón;Unidentified (suspected) COVID-19 virus;Total;Total;Health care home;118
Aragón;Unidentified (suspected) COVID-19 virus;Total;Total;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;Total;Total;Not specified;2
Aragón;Unidentified (suspected) COVID-19 virus;Total;Men;Total;115
Aragón;Unidentified (suspected) COVID-19 virus;Total;Men;Hospital centre;53
Aragón;Unidentified (suspected) COVID-19 virus;Total;Men;Home;26
Aragón;Unidentified (suspected) COVID-19 virus;Total;Men;Health care home;36
Aragón;Unidentified (suspected) COVID-19 virus;Total;Men;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;Total;Men;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;Total;Women;Total;174
Aragón;Unidentified (suspected) COVID-19 virus;Total;Women;Hospital centre;65
Aragón;Unidentified (suspected) COVID-19 virus;Total;Women;Home;25
Aragón;Unidentified (suspected) COVID-19 virus;Total;Women;Health care home;82
Aragón;Unidentified (suspected) COVID-19 virus;Total;Women;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;Total;Women;Not specified;2
Aragón;Unidentified (suspected) COVID-19 virus;January;Total;Total;..
Aragón;Unidentified (suspected) COVID-19 virus;January;Total;Hospital centre;..
Aragón;Unidentified (suspected) COVID-19 virus;January;Total;Home;..
Aragón;Unidentified (suspected) COVID-19 virus;January;Total;Health care home;..
Aragón;Unidentified (suspected) COVID-19 virus;January;Total;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;January;Total;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;January;Men;Total;..
Aragón;Unidentified (suspected) COVID-19 virus;January;Men;Hospital centre;..
Aragón;Unidentified (suspected) COVID-19 virus;January;Men;Home;..
Aragón;Unidentified (suspected) COVID-19 virus;January;Men;Health care home;..
Aragón;Unidentified (suspected) COVID-19 virus;January;Men;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;January;Men;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;January;Women;Total;..
Aragón;Unidentified (suspected) COVID-19 virus;January;Women;Hospital centre;..
Aragón;Unidentified (suspected) COVID-19 virus;January;Women;Home;..
Aragón;Unidentified (suspected) COVID-19 virus;January;Women;Health care home;..
Aragón;Unidentified (suspected) COVID-19 virus;January;Women;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;January;Women;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;February;Total;Total;..
Aragón;Unidentified (suspected) COVID-19 virus;February;Total;Hospital centre;..
Aragón;Unidentified (suspected) COVID-19 virus;February;Total;Home;..
Aragón;Unidentified (suspected) COVID-19 virus;February;Total;Health care home;..
Aragón;Unidentified (suspected) COVID-19 virus;February;Total;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;February;Total;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;February;Men;Total;..
Aragón;Unidentified (suspected) COVID-19 virus;February;Men;Hospital centre;..
Aragón;Unidentified (suspected) COVID-19 virus;February;Men;Home;..
Aragón;Unidentified (suspected) COVID-19 virus;February;Men;Health care home;..
Aragón;Unidentified (suspected) COVID-19 virus;February;Men;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;February;Men;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;February;Women;Total;..
Aragón;Unidentified (suspected) COVID-19 virus;February;Women;Hospital centre;..
Aragón;Unidentified (suspected) COVID-19 virus;February;Women;Home;..
Aragón;Unidentified (suspected) COVID-19 virus;February;Women;Health care home;..
Aragón;Unidentified (suspected) COVID-19 virus;February;Women;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;February;Women;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;March;Total;Total;58
Aragón;Unidentified (suspected) COVID-19 virus;March;Total;Hospital centre;18
Aragón;Unidentified (suspected) COVID-19 virus;March;Total;Home;15
Aragón;Unidentified (suspected) COVID-19 virus;March;Total;Health care home;25
Aragón;Unidentified (suspected) COVID-19 virus;March;Total;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;March;Total;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;March;Men;Total;25
Aragón;Unidentified (suspected) COVID-19 virus;March;Men;Hospital centre;7
Aragón;Unidentified (suspected) COVID-19 virus;March;Men;Home;8
Aragón;Unidentified (suspected) COVID-19 virus;March;Men;Health care home;10
Aragón;Unidentified (suspected) COVID-19 virus;March;Men;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;March;Men;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;March;Women;Total;33
Aragón;Unidentified (suspected) COVID-19 virus;March;Women;Hospital centre;11
Aragón;Unidentified (suspected) COVID-19 virus;March;Women;Home;7
Aragón;Unidentified (suspected) COVID-19 virus;March;Women;Health care home;15
Aragón;Unidentified (suspected) COVID-19 virus;March;Women;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;March;Women;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;April;Total;Total;154
Aragón;Unidentified (suspected) COVID-19 virus;April;Total;Hospital centre;56
Aragón;Unidentified (suspected) COVID-19 virus;April;Total;Home;23
Aragón;Unidentified (suspected) COVID-19 virus;April;Total;Health care home;73
Aragón;Unidentified (suspected) COVID-19 virus;April;Total;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;April;Total;Not specified;2
Aragón;Unidentified (suspected) COVID-19 virus;April;Men;Total;59
Aragón;Unidentified (suspected) COVID-19 virus;April;Men;Hospital centre;25
Aragón;Unidentified (suspected) COVID-19 virus;April;Men;Home;10
Aragón;Unidentified (suspected) COVID-19 virus;April;Men;Health care home;24
Aragón;Unidentified (suspected) COVID-19 virus;April;Men;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;April;Men;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;April;Women;Total;95
Aragón;Unidentified (suspected) COVID-19 virus;April;Women;Hospital centre;31
Aragón;Unidentified (suspected) COVID-19 virus;April;Women;Home;13
Aragón;Unidentified (suspected) COVID-19 virus;April;Women;Health care home;49
Aragón;Unidentified (suspected) COVID-19 virus;April;Women;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;April;Women;Not specified;2
Aragón;Unidentified (suspected) COVID-19 virus;May;Total;Total;20
Aragón;Unidentified (suspected) COVID-19 virus;May;Total;Hospital centre;14
Aragón;Unidentified (suspected) COVID-19 virus;May;Total;Home;1
Aragón;Unidentified (suspected) COVID-19 virus;May;Total;Health care home;5
Aragón;Unidentified (suspected) COVID-19 virus;May;Total;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;May;Total;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;May;Men;Total;5
Aragón;Unidentified (suspected) COVID-19 virus;May;Men;Hospital centre;4
Aragón;Unidentified (suspected) COVID-19 virus;May;Men;Home;1
Aragón;Unidentified (suspected) COVID-19 virus;May;Men;Health care home;..
Aragón;Unidentified (suspected) COVID-19 virus;May;Men;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;May;Men;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;May;Women;Total;15
Aragón;Unidentified (suspected) COVID-19 virus;May;Women;Hospital centre;10
Aragón;Unidentified (suspected) COVID-19 virus;May;Women;Home;..
Aragón;Unidentified (suspected) COVID-19 virus;May;Women;Health care home;5
Aragón;Unidentified (suspected) COVID-19 virus;May;Women;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;May;Women;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;June;Total;Total;4
Aragón;Unidentified (suspected) COVID-19 virus;June;Total;Hospital centre;2
Aragón;Unidentified (suspected) COVID-19 virus;June;Total;Home;..
Aragón;Unidentified (suspected) COVID-19 virus;June;Total;Health care home;2
Aragón;Unidentified (suspected) COVID-19 virus;June;Total;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;June;Total;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;June;Men;Total;2
Aragón;Unidentified (suspected) COVID-19 virus;June;Men;Hospital centre;1
Aragón;Unidentified (suspected) COVID-19 virus;June;Men;Home;..
Aragón;Unidentified (suspected) COVID-19 virus;June;Men;Health care home;1
Aragón;Unidentified (suspected) COVID-19 virus;June;Men;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;June;Men;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;June;Women;Total;2
Aragón;Unidentified (suspected) COVID-19 virus;June;Women;Hospital centre;1
Aragón;Unidentified (suspected) COVID-19 virus;June;Women;Home;..
Aragón;Unidentified (suspected) COVID-19 virus;June;Women;Health care home;1
Aragón;Unidentified (suspected) COVID-19 virus;June;Women;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;June;Women;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;July;Total;Total;15
Aragón;Unidentified (suspected) COVID-19 virus;July;Total;Hospital centre;7
Aragón;Unidentified (suspected) COVID-19 virus;July;Total;Home;5
Aragón;Unidentified (suspected) COVID-19 virus;July;Total;Health care home;3
Aragón;Unidentified (suspected) COVID-19 virus;July;Total;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;July;Total;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;July;Men;Total;9
Aragón;Unidentified (suspected) COVID-19 virus;July;Men;Hospital centre;5
Aragón;Unidentified (suspected) COVID-19 virus;July;Men;Home;4
Aragón;Unidentified (suspected) COVID-19 virus;July;Men;Health care home;..
Aragón;Unidentified (suspected) COVID-19 virus;July;Men;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;July;Men;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;July;Women;Total;6
Aragón;Unidentified (suspected) COVID-19 virus;July;Women;Hospital centre;2
Aragón;Unidentified (suspected) COVID-19 virus;July;Women;Home;1
Aragón;Unidentified (suspected) COVID-19 virus;July;Women;Health care home;3
Aragón;Unidentified (suspected) COVID-19 virus;July;Women;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;July;Women;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;August;Total;Total;15
Aragón;Unidentified (suspected) COVID-19 virus;August;Total;Hospital centre;8
Aragón;Unidentified (suspected) COVID-19 virus;August;Total;Home;1
Aragón;Unidentified (suspected) COVID-19 virus;August;Total;Health care home;6
Aragón;Unidentified (suspected) COVID-19 virus;August;Total;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;August;Total;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;August;Men;Total;7
Aragón;Unidentified (suspected) COVID-19 virus;August;Men;Hospital centre;5
Aragón;Unidentified (suspected) COVID-19 virus;August;Men;Home;1
Aragón;Unidentified (suspected) COVID-19 virus;August;Men;Health care home;1
Aragón;Unidentified (suspected) COVID-19 virus;August;Men;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;August;Men;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;August;Women;Total;8
Aragón;Unidentified (suspected) COVID-19 virus;August;Women;Hospital centre;3
Aragón;Unidentified (suspected) COVID-19 virus;August;Women;Home;..
Aragón;Unidentified (suspected) COVID-19 virus;August;Women;Health care home;5
Aragón;Unidentified (suspected) COVID-19 virus;August;Women;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;August;Women;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;September;Total;Total;5
Aragón;Unidentified (suspected) COVID-19 virus;September;Total;Hospital centre;3
Aragón;Unidentified (suspected) COVID-19 virus;September;Total;Home;1
Aragón;Unidentified (suspected) COVID-19 virus;September;Total;Health care home;1
Aragón;Unidentified (suspected) COVID-19 virus;September;Total;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;September;Total;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;September;Men;Total;1
Aragón;Unidentified (suspected) COVID-19 virus;September;Men;Hospital centre;1
Aragón;Unidentified (suspected) COVID-19 virus;September;Men;Home;..
Aragón;Unidentified (suspected) COVID-19 virus;September;Men;Health care home;..
Aragón;Unidentified (suspected) COVID-19 virus;September;Men;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;September;Men;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;September;Women;Total;4
Aragón;Unidentified (suspected) COVID-19 virus;September;Women;Hospital centre;2
Aragón;Unidentified (suspected) COVID-19 virus;September;Women;Home;1
Aragón;Unidentified (suspected) COVID-19 virus;September;Women;Health care home;1
Aragón;Unidentified (suspected) COVID-19 virus;September;Women;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;September;Women;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;October;Total;Total;7
Aragón;Unidentified (suspected) COVID-19 virus;October;Total;Hospital centre;4
Aragón;Unidentified (suspected) COVID-19 virus;October;Total;Home;2
Aragón;Unidentified (suspected) COVID-19 virus;October;Total;Health care home;1
Aragón;Unidentified (suspected) COVID-19 virus;October;Total;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;October;Total;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;October;Men;Total;2
Aragón;Unidentified (suspected) COVID-19 virus;October;Men;Hospital centre;1
Aragón;Unidentified (suspected) COVID-19 virus;October;Men;Home;1
Aragón;Unidentified (suspected) COVID-19 virus;October;Men;Health care home;..
Aragón;Unidentified (suspected) COVID-19 virus;October;Men;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;October;Men;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;October;Women;Total;5
Aragón;Unidentified (suspected) COVID-19 virus;October;Women;Hospital centre;3
Aragón;Unidentified (suspected) COVID-19 virus;October;Women;Home;1
Aragón;Unidentified (suspected) COVID-19 virus;October;Women;Health care home;1
Aragón;Unidentified (suspected) COVID-19 virus;October;Women;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;October;Women;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;November;Total;Total;7
Aragón;Unidentified (suspected) COVID-19 virus;November;Total;Hospital centre;3
Aragón;Unidentified (suspected) COVID-19 virus;November;Total;Home;2
Aragón;Unidentified (suspected) COVID-19 virus;November;Total;Health care home;2
Aragón;Unidentified (suspected) COVID-19 virus;November;Total;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;November;Total;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;November;Men;Total;3
Aragón;Unidentified (suspected) COVID-19 virus;November;Men;Hospital centre;2
Aragón;Unidentified (suspected) COVID-19 virus;November;Men;Home;1
Aragón;Unidentified (suspected) COVID-19 virus;November;Men;Health care home;..
Aragón;Unidentified (suspected) COVID-19 virus;November;Men;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;November;Men;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;November;Women;Total;4
Aragón;Unidentified (suspected) COVID-19 virus;November;Women;Hospital centre;1
Aragón;Unidentified (suspected) COVID-19 virus;November;Women;Home;1
Aragón;Unidentified (suspected) COVID-19 virus;November;Women;Health care home;2
Aragón;Unidentified (suspected) COVID-19 virus;November;Women;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;November;Women;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;December;Total;Total;4
Aragón;Unidentified (suspected) COVID-19 virus;December;Total;Hospital centre;3
Aragón;Unidentified (suspected) COVID-19 virus;December;Total;Home;1
Aragón;Unidentified (suspected) COVID-19 virus;December;Total;Health care home;..
Aragón;Unidentified (suspected) COVID-19 virus;December;Total;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;December;Total;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;December;Men;Total;2
Aragón;Unidentified (suspected) COVID-19 virus;December;Men;Hospital centre;2
Aragón;Unidentified (suspected) COVID-19 virus;December;Men;Home;..
Aragón;Unidentified (suspected) COVID-19 virus;December;Men;Health care home;..
Aragón;Unidentified (suspected) COVID-19 virus;December;Men;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;December;Men;Not specified;..
Aragón;Unidentified (suspected) COVID-19 virus;December;Women;Total;2
Aragón;Unidentified (suspected) COVID-19 virus;December;Women;Hospital centre;1
Aragón;Unidentified (suspected) COVID-19 virus;December;Women;Home;1
Aragón;Unidentified (suspected) COVID-19 virus;December;Women;Health care home;..
Aragón;Unidentified (suspected) COVID-19 virus;December;Women;Other place;..
Aragón;Unidentified (suspected) COVID-19 virus;December;Women;Not specified;..
Aragón;Other causes;Total;Total;Total;13.738
Aragón;Other causes;Total;Total;Hospital centre;6.743
Aragón;Other causes;Total;Total;Home;4.060
Aragón;Other causes;Total;Total;Health care home;2.397
Aragón;Other causes;Total;Total;Other place;342
Aragón;Other causes;Total;Total;Not specified;196
Aragón;Other causes;Total;Men;Total;6.767
Aragón;Other causes;Total;Men;Hospital centre;3.547
Aragón;Other causes;Total;Men;Home;2.062
Aragón;Other causes;Total;Men;Health care home;809
Aragón;Other causes;Total;Men;Other place;244
Aragón;Other causes;Total;Men;Not specified;105
Aragón;Other causes;Total;Women;Total;6.971
Aragón;Other causes;Total;Women;Hospital centre;3.196
Aragón;Other causes;Total;Women;Home;1.998
Aragón;Other causes;Total;Women;Health care home;1.588
Aragón;Other causes;Total;Women;Other place;98
Aragón;Other causes;Total;Women;Not specified;91
Aragón;Other causes;January;Total;Total;1.431
Aragón;Other causes;January;Total;Hospital centre;756
Aragón;Other causes;January;Total;Home;391
Aragón;Other causes;January;Total;Health care home;242
Aragón;Other causes;January;Total;Other place;19
Aragón;Other causes;January;Total;Not specified;23
Aragón;Other causes;January;Men;Total;706
Aragón;Other causes;January;Men;Hospital centre;390
Aragón;Other causes;January;Men;Home;203
Aragón;Other causes;January;Men;Health care home;88
Aragón;Other causes;January;Men;Other place;16
Aragón;Other causes;January;Men;Not specified;9
Aragón;Other causes;January;Women;Total;725
Aragón;Other causes;January;Women;Hospital centre;366
Aragón;Other causes;January;Women;Home;188
Aragón;Other causes;January;Women;Health care home;154
Aragón;Other causes;January;Women;Other place;3
Aragón;Other causes;January;Women;Not specified;14
Aragón;Other causes;February;Total;Total;1.194
Aragón;Other causes;February;Total;Hospital centre;621
Aragón;Other causes;February;Total;Home;287
Aragón;Other causes;February;Total;Health care home;208
Aragón;Other causes;February;Total;Other place;52
Aragón;Other causes;February;Total;Not specified;26
Aragón;Other causes;February;Men;Total;592
Aragón;Other causes;February;Men;Hospital centre;331
Aragón;Other causes;February;Men;Home;139
Aragón;Other causes;February;Men;Health care home;70
Aragón;Other causes;February;Men;Other place;38
Aragón;Other causes;February;Men;Not specified;14
Aragón;Other causes;February;Women;Total;602
Aragón;Other causes;February;Women;Hospital centre;290
Aragón;Other causes;February;Women;Home;148
Aragón;Other causes;February;Women;Health care home;138
Aragón;Other causes;February;Women;Other place;14
Aragón;Other causes;February;Women;Not specified;12
Aragón;Other causes;March;Total;Total;1.292
Aragón;Other causes;March;Total;Hospital centre;603
Aragón;Other causes;March;Total;Home;338
Aragón;Other causes;March;Total;Health care home;272
Aragón;Other causes;March;Total;Other place;60
Aragón;Other causes;March;Total;Not specified;19
Aragón;Other causes;March;Men;Total;660
Aragón;Other causes;March;Men;Hospital centre;347
Aragón;Other causes;March;Men;Home;163
Aragón;Other causes;March;Men;Health care home;100
Aragón;Other causes;March;Men;Other place;38
Aragón;Other causes;March;Men;Not specified;12
Aragón;Other causes;March;Women;Total;632
Aragón;Other causes;March;Women;Hospital centre;256
Aragón;Other causes;March;Women;Home;175
Aragón;Other causes;March;Women;Health care home;172
Aragón;Other causes;March;Women;Other place;22
Aragón;Other causes;March;Women;Not specified;7
Aragón;Other causes;April;Total;Total;1.136
Aragón;Other causes;April;Total;Hospital centre;440
Aragón;Other causes;April;Total;Home;356
Aragón;Other causes;April;Total;Health care home;293
Aragón;Other causes;April;Total;Other place;33
Aragón;Other causes;April;Total;Not specified;14
Aragón;Other causes;April;Men;Total;523
Aragón;Other causes;April;Men;Hospital centre;222
Aragón;Other causes;April;Men;Home;179
Aragón;Other causes;April;Men;Health care home;93
Aragón;Other causes;April;Men;Other place;23
Aragón;Other causes;April;Men;Not specified;6
Aragón;Other causes;April;Women;Total;613
Aragón;Other causes;April;Women;Hospital centre;218
Aragón;Other causes;April;Women;Home;177
Aragón;Other causes;April;Women;Health care home;200
Aragón;Other causes;April;Women;Other place;10
Aragón;Other causes;April;Women;Not specified;8
Aragón;Other causes;May;Total;Total;995
Aragón;Other causes;May;Total;Hospital centre;470
Aragón;Other causes;May;Total;Home;318
Aragón;Other causes;May;Total;Health care home;152
Aragón;Other causes;May;Total;Other place;47
Aragón;Other causes;May;Total;Not specified;8
Aragón;Other causes;May;Men;Total;499
Aragón;Other causes;May;Men;Hospital centre;252
Aragón;Other causes;May;Men;Home;157
Aragón;Other causes;May;Men;Health care home;57
Aragón;Other causes;May;Men;Other place;30
Aragón;Other causes;May;Men;Not specified;3
Aragón;Other causes;May;Women;Total;496
Aragón;Other causes;May;Women;Hospital centre;218
Aragón;Other causes;May;Women;Home;161
Aragón;Other causes;May;Women;Health care home;95
Aragón;Other causes;May;Women;Other place;17
Aragón;Other causes;May;Women;Not specified;5
Aragón;Other causes;June;Total;Total;973
Aragón;Other causes;June;Total;Hospital centre;518
Aragón;Other causes;June;Total;Home;272
Aragón;Other causes;June;Total;Health care home;161
Aragón;Other causes;June;Total;Other place;13
Aragón;Other causes;June;Total;Not specified;9
Aragón;Other causes;June;Men;Total;479
Aragón;Other causes;June;Men;Hospital centre;268
Aragón;Other causes;June;Men;Home;141
Aragón;Other causes;June;Men;Health care home;53
Aragón;Other causes;June;Men;Other place;11
Aragón;Other causes;June;Men;Not specified;6
Aragón;Other causes;June;Women;Total;494
Aragón;Other causes;June;Women;Hospital centre;250
Aragón;Other causes;June;Women;Home;131
Aragón;Other causes;June;Women;Health care home;108
Aragón;Other causes;June;Women;Other place;2
Aragón;Other causes;June;Women;Not specified;3
Aragón;Other causes;July;Total;Total;1.165
Aragón;Other causes;July;Total;Hospital centre;559
Aragón;Other causes;July;Total;Home;352
Aragón;Other causes;July;Total;Health care home;218
Aragón;Other causes;July;Total;Other place;22
Aragón;Other causes;July;Total;Not specified;14
Aragón;Other causes;July;Men;Total;562
Aragón;Other causes;July;Men;Hospital centre;288
Aragón;Other causes;July;Men;Home;187
Aragón;Other causes;July;Men;Health care home;60
Aragón;Other causes;July;Men;Other place;20
Aragón;Other causes;July;Men;Not specified;7
Aragón;Other causes;July;Women;Total;603
Aragón;Other causes;July;Women;Hospital centre;271
Aragón;Other causes;July;Women;Home;165
Aragón;Other causes;July;Women;Health care home;158
Aragón;Other causes;July;Women;Other place;2
Aragón;Other causes;July;Women;Not specified;7
Aragón;Other causes;August;Total;Total;1.160
Aragón;Other causes;August;Total;Hospital centre;581
Aragón;Other causes;August;Total;Home;346
Aragón;Other causes;August;Total;Health care home;185
Aragón;Other causes;August;Total;Other place;20
Aragón;Other causes;August;Total;Not specified;28
Aragón;Other causes;August;Men;Total;558
Aragón;Other causes;August;Men;Hospital centre;294
Aragón;Other causes;August;Men;Home;168
Aragón;Other causes;August;Men;Health care home;65
Aragón;Other causes;August;Men;Other place;14
Aragón;Other causes;August;Men;Not specified;17
Aragón;Other causes;August;Women;Total;602
Aragón;Other causes;August;Women;Hospital centre;287
Aragón;Other causes;August;Women;Home;178
Aragón;Other causes;August;Women;Health care home;120
Aragón;Other causes;August;Women;Other place;6
Aragón;Other causes;August;Women;Not specified;11
Aragón;Other causes;September;Total;Total;1.068
Aragón;Other causes;September;Total;Hospital centre;534
Aragón;Other causes;September;Total;Home;329
Aragón;Other causes;September;Total;Health care home;165
Aragón;Other causes;September;Total;Other place;19
Aragón;Other causes;September;Total;Not specified;21
Aragón;Other causes;September;Men;Total;539
Aragón;Other causes;September;Men;Hospital centre;281
Aragón;Other causes;September;Men;Home;176
Aragón;Other causes;September;Men;Health care home;61
Aragón;Other causes;September;Men;Other place;12
Aragón;Other causes;September;Men;Not specified;9
Aragón;Other causes;September;Women;Total;529
Aragón;Other causes;September;Women;Hospital centre;253
Aragón;Other causes;September;Women;Home;153
Aragón;Other causes;September;Women;Health care home;104
Aragón;Other causes;September;Women;Other place;7
Aragón;Other causes;September;Women;Not specified;12
